x,y,z,res
0.0,-27.0,-27.0,
0.0,-27.0,-26.0,
0.0,-27.0,-25.0,
0.0,-27.0,-24.0,
0.0,-27.0,-23.0,
0.0,-27.0,-22.0,
0.0,-27.0,-21.0,
0.0,-27.0,-20.0,
0.0,-27.0,-19.0,
0.0,-27.0,-18.0,
0.0,-27.0,-17.0,
0.0,-27.0,-16.0,
0.0,-27.0,-15.0,
0.0,-27.0,-14.0,
0.0,-27.0,-13.0,
0.0,-27.0,-12.0,
0.0,-27.0,-11.0,
0.0,-27.0,-10.0,
0.0,-27.0,-9.0,
0.0,-27.0,-8.0,
0.0,-27.0,-7.0,
0.0,-27.0,-6.0,
0.0,-27.0,-5.0,
0.0,-27.0,-4.0,
0.0,-27.0,-3.0,
0.0,-27.0,-2.0,
0.0,-27.0,-1.0,
0.0,-27.0,0.0,
0.0,-27.0,1.0,
0.0,-27.0,2.0,
0.0,-27.0,3.0,
0.0,-27.0,4.0,
0.0,-27.0,5.0,
0.0,-27.0,6.0,
0.0,-27.0,7.0,
0.0,-27.0,8.0,
0.0,-27.0,9.0,
0.0,-27.0,10.0,
0.0,-27.0,11.0,
0.0,-27.0,12.0,
0.0,-27.0,13.0,
0.0,-27.0,14.0,
0.0,-27.0,15.0,
0.0,-27.0,16.0,
0.0,-27.0,17.0,
0.0,-27.0,18.0,
0.0,-27.0,19.0,
0.0,-27.0,20.0,
0.0,-27.0,21.0,
0.0,-27.0,22.0,
0.0,-27.0,23.0,
0.0,-27.0,24.0,
0.0,-27.0,25.0,
0.0,-27.0,26.0,
0.0,-27.0,27.0,
0.0,-26.0,-27.0,
0.0,-26.0,-26.0,
0.0,-26.0,-25.0,
0.0,-26.0,-24.0,
0.0,-26.0,-23.0,
0.0,-26.0,-22.0,
0.0,-26.0,-21.0,
0.0,-26.0,-20.0,
0.0,-26.0,-19.0,
0.0,-26.0,-18.0,
0.0,-26.0,-17.0,
0.0,-26.0,-16.0,
0.0,-26.0,-15.0,
0.0,-26.0,-14.0,
0.0,-26.0,-13.0,
0.0,-26.0,-12.0,
0.0,-26.0,-11.0,
0.0,-26.0,-10.0,
0.0,-26.0,-9.0,
0.0,-26.0,-8.0,
0.0,-26.0,-7.0,
0.0,-26.0,-6.0,
0.0,-26.0,-5.0,
0.0,-26.0,-4.0,
0.0,-26.0,-3.0,
0.0,-26.0,-2.0,
0.0,-26.0,-1.0,
0.0,-26.0,0.0,
0.0,-26.0,1.0,
0.0,-26.0,2.0,
0.0,-26.0,3.0,
0.0,-26.0,4.0,
0.0,-26.0,5.0,
0.0,-26.0,6.0,
0.0,-26.0,7.0,
0.0,-26.0,8.0,
0.0,-26.0,9.0,
0.0,-26.0,10.0,
0.0,-26.0,11.0,
0.0,-26.0,12.0,
0.0,-26.0,13.0,
0.0,-26.0,14.0,
0.0,-26.0,15.0,
0.0,-26.0,16.0,
0.0,-26.0,17.0,
0.0,-26.0,18.0,
0.0,-26.0,19.0,
0.0,-26.0,20.0,
0.0,-26.0,21.0,
0.0,-26.0,22.0,
0.0,-26.0,23.0,
0.0,-26.0,24.0,
0.0,-26.0,25.0,
0.0,-26.0,26.0,
0.0,-26.0,27.0,
0.0,-25.0,-27.0,
0.0,-25.0,-26.0,
0.0,-25.0,-25.0,
0.0,-25.0,-24.0,
0.0,-25.0,-23.0,
0.0,-25.0,-22.0,
0.0,-25.0,-21.0,
0.0,-25.0,-20.0,
0.0,-25.0,-19.0,
0.0,-25.0,-18.0,
0.0,-25.0,-17.0,
0.0,-25.0,-16.0,
0.0,-25.0,-15.0,
0.0,-25.0,-14.0,
0.0,-25.0,-13.0,
0.0,-25.0,-12.0,
0.0,-25.0,-11.0,
0.0,-25.0,-10.0,
0.0,-25.0,-9.0,
0.0,-25.0,-8.0,
0.0,-25.0,-7.0,
0.0,-25.0,-6.0,
0.0,-25.0,-5.0,
0.0,-25.0,-4.0,
0.0,-25.0,-3.0,
0.0,-25.0,-2.0,
0.0,-25.0,-1.0,
0.0,-25.0,0.0,
0.0,-25.0,1.0,
0.0,-25.0,2.0,
0.0,-25.0,3.0,
0.0,-25.0,4.0,
0.0,-25.0,5.0,
0.0,-25.0,6.0,
0.0,-25.0,7.0,
0.0,-25.0,8.0,
0.0,-25.0,9.0,
0.0,-25.0,10.0,
0.0,-25.0,11.0,
0.0,-25.0,12.0,
0.0,-25.0,13.0,
0.0,-25.0,14.0,
0.0,-25.0,15.0,
0.0,-25.0,16.0,
0.0,-25.0,17.0,
0.0,-25.0,18.0,
0.0,-25.0,19.0,
0.0,-25.0,20.0,
0.0,-25.0,21.0,
0.0,-25.0,22.0,
0.0,-25.0,23.0,
0.0,-25.0,24.0,
0.0,-25.0,25.0,
0.0,-25.0,26.0,
0.0,-25.0,27.0,
0.0,-24.0,-27.0,
0.0,-24.0,-26.0,
0.0,-24.0,-25.0,
0.0,-24.0,-24.0,
0.0,-24.0,-23.0,
0.0,-24.0,-22.0,
0.0,-24.0,-21.0,
0.0,-24.0,-20.0,
0.0,-24.0,-19.0,
0.0,-24.0,-18.0,
0.0,-24.0,-17.0,
0.0,-24.0,-16.0,
0.0,-24.0,-15.0,
0.0,-24.0,-14.0,
0.0,-24.0,-13.0,
0.0,-24.0,-12.0,
0.0,-24.0,-11.0,
0.0,-24.0,-10.0,
0.0,-24.0,-9.0,
0.0,-24.0,-8.0,
0.0,-24.0,-7.0,
0.0,-24.0,-6.0,
0.0,-24.0,-5.0,
0.0,-24.0,-4.0,
0.0,-24.0,-3.0,
0.0,-24.0,-2.0,
0.0,-24.0,-1.0,
0.0,-24.0,0.0,
0.0,-24.0,1.0,
0.0,-24.0,2.0,
0.0,-24.0,3.0,
0.0,-24.0,4.0,
0.0,-24.0,5.0,
0.0,-24.0,6.0,
0.0,-24.0,7.0,
0.0,-24.0,8.0,
0.0,-24.0,9.0,
0.0,-24.0,10.0,
0.0,-24.0,11.0,
0.0,-24.0,12.0,
0.0,-24.0,13.0,
0.0,-24.0,14.0,
0.0,-24.0,15.0,
0.0,-24.0,16.0,
0.0,-24.0,17.0,
0.0,-24.0,18.0,
0.0,-24.0,19.0,
0.0,-24.0,20.0,
0.0,-24.0,21.0,
0.0,-24.0,22.0,
0.0,-24.0,23.0,
0.0,-24.0,24.0,
0.0,-24.0,25.0,
0.0,-24.0,26.0,
0.0,-24.0,27.0,
0.0,-23.0,-27.0,
0.0,-23.0,-26.0,
0.0,-23.0,-25.0,
0.0,-23.0,-24.0,
0.0,-23.0,-23.0,
0.0,-23.0,-22.0,
0.0,-23.0,-21.0,
0.0,-23.0,-20.0,
0.0,-23.0,-19.0,
0.0,-23.0,-18.0,
