,X,Y,Z,res
0,0.0,27.0,27.0,0.0
1,1.0,27.0,27.0,0.0
2,2.0,27.0,27.0,0.0
3,3.0,27.0,27.0,0.0
4,4.0,27.0,27.0,0.0
5,5.0,27.0,27.0,0.0
6,6.0,27.0,27.0,0.0
7,7.0,27.0,27.0,0.0
8,8.0,27.0,27.0,0.0
9,9.0,27.0,27.0,0.0
10,10.0,27.0,27.0,0.0
11,11.0,27.0,27.0,0.0
12,12.0,27.0,27.0,0.0
13,13.0,27.0,27.0,0.0
14,14.0,27.0,27.0,0.0
15,15.0,27.0,27.0,0.0
16,16.0,27.0,27.0,0.0
17,17.0,27.0,27.0,0.0
18,18.0,27.0,27.0,0.0
19,19.0,27.0,27.0,0.0
20,20.0,27.0,27.0,0.0
21,21.0,27.0,27.0,0.0
22,22.0,27.0,27.0,0.0
23,23.0,27.0,27.0,0.0
24,24.0,27.0,27.0,0.0
25,25.0,27.0,27.0,0.0
26,26.0,27.0,27.0,0.0
27,27.0,27.0,27.0,0.0
28,28.0,27.0,27.0,0.0
29,29.0,27.0,27.0,0.0
30,30.0,27.0,27.0,0.0
31,31.0,27.0,27.0,0.0
32,32.0,27.0,27.0,0.0
33,33.0,27.0,27.0,0.0
34,34.0,27.0,27.0,0.0
35,35.0,27.0,27.0,0.0
36,36.0,27.0,27.0,0.0
37,37.0,27.0,27.0,0.0
38,38.0,27.0,27.0,0.0
39,39.0,27.0,27.0,0.0
40,0.0,26.0,27.0,0.0
41,1.0,26.0,27.0,0.0
42,2.0,26.0,27.0,0.0
43,3.0,26.0,27.0,0.0
44,4.0,26.0,27.0,0.0
45,5.0,26.0,27.0,0.0
46,6.0,26.0,27.0,0.0
47,7.0,26.0,27.0,0.0
48,8.0,26.0,27.0,0.0
49,9.0,26.0,27.0,0.0
50,10.0,26.0,27.0,0.0
51,11.0,26.0,27.0,0.0
52,12.0,26.0,27.0,0.0
53,13.0,26.0,27.0,0.0
54,14.0,26.0,27.0,0.0
55,15.0,26.0,27.0,0.0
56,16.0,26.0,27.0,0.0
57,17.0,26.0,27.0,0.0
58,18.0,26.0,27.0,0.0
59,19.0,26.0,27.0,0.0
60,20.0,26.0,27.0,0.0
61,21.0,26.0,27.0,0.0
62,22.0,26.0,27.0,0.0
63,23.0,26.0,27.0,0.0
64,24.0,26.0,27.0,0.0
65,25.0,26.0,27.0,0.0
66,26.0,26.0,27.0,0.0
67,27.0,26.0,27.0,0.0
68,28.0,26.0,27.0,0.0
69,29.0,26.0,27.0,0.0
70,30.0,26.0,27.0,0.0
71,31.0,26.0,27.0,0.0
72,32.0,26.0,27.0,0.0
73,33.0,26.0,27.0,0.0
74,34.0,26.0,27.0,0.0
75,35.0,26.0,27.0,0.0
76,36.0,26.0,27.0,0.0
77,37.0,26.0,27.0,0.0
78,38.0,26.0,27.0,0.0
79,39.0,26.0,27.0,0.0
80,0.0,25.0,27.0,0.0
81,1.0,25.0,27.0,0.0
82,2.0,25.0,27.0,0.0
83,3.0,25.0,27.0,0.0
84,4.0,25.0,27.0,0.0
85,5.0,25.0,27.0,0.0
86,6.0,25.0,27.0,0.0
87,7.0,25.0,27.0,0.0
88,8.0,25.0,27.0,0.0
89,9.0,25.0,27.0,0.0
90,10.0,25.0,27.0,0.0
91,11.0,25.0,27.0,0.0
92,12.0,25.0,27.0,0.0
93,13.0,25.0,27.0,0.0
94,14.0,25.0,27.0,0.0
95,15.0,25.0,27.0,0.0
96,16.0,25.0,27.0,0.0
97,17.0,25.0,27.0,0.0
98,18.0,25.0,27.0,0.0
99,19.0,25.0,27.0,0.0
100,20.0,25.0,27.0,0.0
101,21.0,25.0,27.0,0.0
102,22.0,25.0,27.0,0.0
103,23.0,25.0,27.0,0.0
104,24.0,25.0,27.0,0.0
105,25.0,25.0,27.0,0.0
106,26.0,25.0,27.0,0.0
107,27.0,25.0,27.0,0.0
108,28.0,25.0,27.0,0.0
109,29.0,25.0,27.0,0.0
110,30.0,25.0,27.0,0.0
111,31.0,25.0,27.0,0.0
112,32.0,25.0,27.0,0.0
113,33.0,25.0,27.0,0.0
114,34.0,25.0,27.0,0.0
115,35.0,25.0,27.0,0.0
116,36.0,25.0,27.0,0.0
117,37.0,25.0,27.0,0.0
118,38.0,25.0,27.0,0.0
119,39.0,25.0,27.0,0.0
120,0.0,24.0,27.0,0.0
121,1.0,24.0,27.0,0.0
122,2.0,24.0,27.0,0.0
123,3.0,24.0,27.0,0.0
124,4.0,24.0,27.0,0.0
125,5.0,24.0,27.0,0.0
126,6.0,24.0,27.0,0.0
127,7.0,24.0,27.0,0.0
128,8.0,24.0,27.0,0.0
129,9.0,24.0,27.0,0.0
130,10.0,24.0,27.0,0.0
131,11.0,24.0,27.0,0.0
132,12.0,24.0,27.0,0.0
133,13.0,24.0,27.0,0.0
134,14.0,24.0,27.0,0.0
135,15.0,24.0,27.0,0.0
136,16.0,24.0,27.0,0.0
137,17.0,24.0,27.0,0.0
138,18.0,24.0,27.0,0.0
139,19.0,24.0,27.0,0.0
140,20.0,24.0,27.0,0.0
141,21.0,24.0,27.0,0.0
142,22.0,24.0,27.0,0.0
143,23.0,24.0,27.0,0.0
144,24.0,24.0,27.0,0.0
145,25.0,24.0,27.0,0.0
146,26.0,24.0,27.0,0.0
147,27.0,24.0,27.0,0.0
148,28.0,24.0,27.0,0.0
149,29.0,24.0,27.0,0.0
150,30.0,24.0,27.0,0.0
151,31.0,24.0,27.0,0.0
152,32.0,24.0,27.0,0.0
153,33.0,24.0,27.0,0.0
154,34.0,24.0,27.0,0.0
155,35.0,24.0,27.0,0.0
156,36.0,24.0,27.0,0.0
157,37.0,24.0,27.0,0.0
158,38.0,24.0,27.0,0.0
159,39.0,24.0,27.0,0.0
160,0.0,23.0,27.0,0.0
161,1.0,23.0,27.0,0.0
162,2.0,23.0,27.0,0.0
163,3.0,23.0,27.0,0.0
164,4.0,23.0,27.0,0.0
165,5.0,23.0,27.0,0.0
166,6.0,23.0,27.0,0.0
167,7.0,23.0,27.0,0.0
168,8.0,23.0,27.0,0.0
169,9.0,23.0,27.0,0.0
170,10.0,23.0,27.0,0.0
171,11.0,23.0,27.0,0.0
172,12.0,23.0,27.0,0.0
173,13.0,23.0,27.0,0.0
174,14.0,23.0,27.0,0.0
175,15.0,23.0,27.0,0.0
176,16.0,23.0,27.0,0.0
177,17.0,23.0,27.0,0.0
178,18.0,23.0,27.0,0.0
179,19.0,23.0,27.0,0.0
180,20.0,23.0,27.0,0.0
181,21.0,23.0,27.0,0.0
182,22.0,23.0,27.0,0.0
183,23.0,23.0,27.0,0.0
184,24.0,23.0,27.0,0.0
185,25.0,23.0,27.0,0.0
186,26.0,23.0,27.0,0.0
187,27.0,23.0,27.0,0.0
188,28.0,23.0,27.0,0.0
189,29.0,23.0,27.0,0.0
190,30.0,23.0,27.0,0.0
191,31.0,23.0,27.0,0.0
192,32.0,23.0,27.0,0.0
193,33.0,23.0,27.0,0.0
194,34.0,23.0,27.0,0.0
195,35.0,23.0,27.0,0.0
196,36.0,23.0,27.0,0.0
197,37.0,23.0,27.0,0.0
198,38.0,23.0,27.0,0.0
199,39.0,23.0,27.0,0.0
200,0.0,22.0,27.0,0.0
201,1.0,22.0,27.0,0.0
202,2.0,22.0,27.0,0.0
203,3.0,22.0,27.0,0.0
204,4.0,22.0,27.0,0.0
205,5.0,22.0,27.0,0.0
206,6.0,22.0,27.0,0.0
207,7.0,22.0,27.0,0.0
208,8.0,22.0,27.0,0.0
209,9.0,22.0,27.0,0.0
210,10.0,22.0,27.0,0.0
211,11.0,22.0,27.0,0.0
212,12.0,22.0,27.0,0.0
213,13.0,22.0,27.0,0.0
214,14.0,22.0,27.0,0.0
215,15.0,22.0,27.0,0.0
216,16.0,22.0,27.0,0.0
217,17.0,22.0,27.0,0.0
218,18.0,22.0,27.0,0.0
219,19.0,22.0,27.0,0.0
220,20.0,22.0,27.0,0.0
221,21.0,22.0,27.0,0.0
222,22.0,22.0,27.0,0.0
223,23.0,22.0,27.0,0.0
224,24.0,22.0,27.0,0.0
225,25.0,22.0,27.0,0.0
226,26.0,22.0,27.0,0.0
227,27.0,22.0,27.0,0.0
228,28.0,22.0,27.0,0.0
229,29.0,22.0,27.0,0.0
230,30.0,22.0,27.0,0.0
231,31.0,22.0,27.0,0.0
232,32.0,22.0,27.0,0.0
233,33.0,22.0,27.0,0.0
234,34.0,22.0,27.0,0.0
235,35.0,22.0,27.0,0.0
236,36.0,22.0,27.0,0.0
237,37.0,22.0,27.0,0.0
238,38.0,22.0,27.0,0.0
239,39.0,22.0,27.0,0.0
